가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수길중간위도,가로수길중간경도,가로수길소개,,,,,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명,제공기관명
풍성로,37.315901,127.071743,37.313335,127.085067,37.3208065,127.078405,은행나무 외 2종으로 이루어진 가로수길,,,,,풍성로,구도,영파여고앞 교차로 ~ 둔촌동 105-9,02-3425-6465,서울특별시 강동구청,2023-08-18,3240000,서울특별시 강동구,서울특별시 강동구
고덕로,37.331715,127.073023,37.333169,127.105459,37.3209435,127.089241,은행나무 외 4종으로 이루어진 가로수길,,,,,고덕로,시도,토끼굴입구교차로 ~ 강일동 418-2,02-3425-6465,서울특별시 강동구청,2023-08-18,3240000,서울특별시 강동구,서울특별시 강동구
구천면로,37.325712,127.092215,37.323344,127.071272,37.3253105,127.0817435,은행나무 외 4종으로 이루어진 가로수길,,,,,구천면로,시도,한영고교차로 ~ 천호동 471-192,02-3425-6465,서울특별시 강동구청,2023-08-18,3240000,서울특별시 강동구,서울특별시 강동구
동남로,37.310172,127.083725,37.334598,127.092507,37.3121035,127.088116,은행나무 외 3종으로 이루어진 가로수길,,,,,동남로,시도,둔촌동 229-2 ~ 샘터근린공원 교차로,02-3425-6465,서울특별시 강동구청,2023-08-18,3240000,서울특별시 강동구,서울특별시 강동구
상일로,37.324909,127.102501,37.334323,127.101359,37.329036,127.10193,은행나무 외 1종으로 이루어진 가로수길,,,,,상일로,시도,상일동 359-3 ~ 강일동입구교차로,02-3425-6465,서울특별시 강동구청,2023-08-18,3240000,서울특별시 강동구,서울특별시 강동구
올림픽로,37.314035,127.070976,37.335048,127.075906,37.327187,127.073441,은행나무 외 3종으로 이루어진 가로수길,,,,,올림픽로,시도,풍납사거리 ~ 암사동 117-3,02-3425-6465,서울특별시 강동구청,2023-08-18,3240000,서울특별시 강동구,서울특별시 강동구
아리수로 50길,37.333163,127.090574,37.333851,127.084807,37.3228145,127.0876905,벚나무로 이루어진 가로수길,,,,,아리수로 50길,구도,고덕동 673 ~ 고덕동 669,02-3425-6465,서울특별시 강동구청,2023-08-18,3240000,서울특별시 강동구,서울특별시 강동구
아리수로 93가길,37.340339,127.102485,37.340863,127.091902,37.331437,127.0971935,벚나무로 이루어진 가로수길,,,,,아리수로 93가길,구도,강일1단지 교차로 ~ 고덕동 387-1,02-3425-6465,서울특별시 강동구청,2023-08-18,3240000,서울특별시 강동구,서울특별시 강동구
진황도로,37.312466,127.084675,37.322518,127.074008,37.3170505,127.0793415,은행나무 외 3종으로 이루어진 가로수길,,,,,진황도로,구도,둔촌동 118-2 ~ 천호시장 교차로,02-3425-6465,서울특별시 강동구청,2023-08-18,3240000,서울특별시 강동구,서울특별시 강동구
천중로,37.322535,127.091161,37.324567,127.071819,37.421809,127.08149,은행나무 외 3종으로 이루어진 가로수길,,,,,천중로,구도,천호동 256-3 ~ 생태공원교차로,02-3425-6465,서울특별시 강동구청,2023-08-18,3240000,서울특별시 강동구,서울특별시 강동구
천호대로 157길,37.321635,127.073585,37.322548,127.074043,37.42484,127.073814,벚나무 외 1종으로 이루어진 가로수길,,,,,천호대로 157길,구도,성내동 9-2 ~ 천호시장 교차로,02-3425-6465,서울특별시 강동구청,2023-08-18,3240000,서울특별시 강동구,서울특별시 강동구
신월로27길,37.521083,126.843739,37.522455,126.847591,37.523414,126.845665,공원과 인접하여 왕벚나무가 식재되어 있어 봄꽃길을 선사함,,,,,,구도,신진자동차경정비~장수공원,02-2620-3583,서울특별시 양천구청,2023-08-31,3140000,서울특별시 양천구,서울특별시 양천구
신정중앙로,37.528045,126.851634,37.526057,126.864276,37.5247715,126.857955,"왕벚나무가 주 식재 수종이며, 주변에 상가가 많이 밀집하여 있음",,,,,,구도,큰사랑교회~목동역,02-2620-3583,서울특별시 양천구청,2023-08-31,3140000,서울특별시 양천구,서울특별시 양천구
오목로3길,37.525745,126.837407,37.521498,126.840021,37.532535,126.838714,"주거지 인접 가로이며, 왕벚나무 식재로 봄꽃길을 선사함",,,,,,구도,태양어린이공원~서울강서초등학교,02-2620-3583,서울특별시 양천구청,2023-08-31,3140000,서울특별시 양천구,서울특별시 양천구
오목로4길,37.521498,126.840021,37.521081,126.843729,37.518907,126.841875,왕벚나무가 식재되어 있음,,,,,,구도,삼종레이빌아파트~문화어린이공원,02-2620-3583,서울특별시 양천구청,2023-08-31,3140000,서울특별시 양천구,서울특별시 양천구
화곡로4길,37.539325,126.826915,37.536041,126.829116,37.527805,126.8280155,왕벚나무가 식재되어 있어 봄꽃길을 선사함,,,,,,구도,신월5동주민센터~으뜸공원,02-2620-3583,서울특별시 양천구청,2023-08-31,3140000,서울특별시 양천구,서울특별시 양천구
신정이펜1로,37.516316,126.827701,37.511907,126.835679,37.419337,126.83169,이팝나무와 왕벚나무가 식재되어 있어 봄꽃길을 선사함,,,,,,구도,신정이펜하우스1단지~연의근린공원,02-2620-3583,서울특별시 양천구청,2023-08-31,3140000,서울특별시 양천구,서울특별시 양천구
신정이펜2로,37.516285,126.832004,37.511104,126.832847,37.5320135,126.8324255,왕벚나무가 식재되어 있어 봄꽃길을 선사함,,,,,,구도,신정이펜하우스2단지~이화여자대학교서울서남병원,02-2620-3583,서울특별시 양천구청,2023-08-31,3140000,서울특별시 양천구,서울특별시 양천구
선사로,37.322358,127.071609,37.332506,127.073255,37.443283,127.072432,은행나무 외 2종으로 이루어진 가로수길,,,,,선사로,구도,천호동 461-161 ~ 암사동 166-14,02-3425-6465,서울특별시 강동구청,2023-08-18,3240000,서울특별시 강동구,서울특별시 강동구
천호대로 138길,37.547742,127.092301,37.548779,127.093213,37.553194,127.092757,왕벚나무 가로수가 식재된 거리,,,,,천호대로 138길,구도,아차산휴먼시아아파트 101동 앞~103동 앞,02-450-7792,서울특별시 광진구청,2023-06-21,3040000,서울특별시 광진구,서울특별시 광진구
긴고랑로,37.564208,127.076368,37.561929,127.096088,37.5630685,127.086228,왕벚나무 가로수가 식재된 거리,,,,,긴고랑로,구도,동곡삼거리~긴고랑 입구,02-450-7792,서울특별시 광진구청,2023-06-21,3040000,서울특별시 광진구,서울특별시 광진구
영화사로,37.558646,127.087762,37.550719,127.100894,37.5546825,127.094328,왕벚나무 등 가로수 3종이 식재된 거리,,,,,영화사로,구도,신성시장 입구~아차산 생태공원 앞 교차로,02-450-7792,서울특별시 광진구청,2023-06-21,3040000,서울특별시 광진구,서울특별시 광진구
신정로,37.506403,126.830621,37.513627,126.855851,37.510015,126.843236,은행나무와 회화나무가 식재되어 있음,,,,,,시도,궁동터널~신트리공원앞교차로,02-2620-3583,서울특별시 양천구청,2023-08-31,3140000,서울특별시 양천구,서울특별시 양천구
곰달래로5길,37.535863,126.829227,37.529807,126.834774,37.532835,126.8320005,왕벚나무가 식재되어 있어 봄꽃길을 선사함,,,,,,구도,KB국민은행신월동지점~신월6차보람아파트,02-2620-3583,서울특별시 양천구청,2023-08-31,3140000,서울특별시 양천구,서울특별시 양천구
곰달래로6길,37.529794,126.834785,37.526088,126.837153,37.527941,126.835969,왕벚나무가 식재되어 있어 봄꽃길을 선사함,,,,,,구도,반곡어린이공원~성실통운,02-2620-3583,서울특별시 양천구청,2023-08-31,3140000,서울특별시 양천구,서울특별시 양천구
남부순환로72길,37.519615,126.835892,37.520958,126.837678,37.5202865,126.836785,왕벚나무가 식재되어 있어 봄꽃길을 선사함,,,,,,구도,오솔길실버공원,02-2620-3583,서울특별시 양천구청,2023-08-31,3140000,서울특별시 양천구,서울특별시 양천구
남부순환로88길,37.510561,126.836458,37.512159,126.841424,37.51136,126.838941,"느티나무와 왕벚나무가 식재되어 있어 봄, 가을철 걷고싶은 길을 연출",,,,,,구도,서부터미널~넘은들공원,02-2620-3583,서울특별시 양천구청,2023-08-31,3140000,서울특별시 양천구,서울특별시 양천구
여의동로,37.521962,126.916671,37.528534,126.930254,37.525248,126.9234625,여의도 우측순환도로로써 마포대교 남단에서 63빌딩을 지나 서울교까지 구간이다. 역시 왕벚나무가 1천그루 이상 식재되어 있어 봄철에 벚꽃이 유명하다,,,,,여의동로,시도,마포대교남단~서울교,02-2670-3767,서울특별시 영등포구청,2023-12-06,3180000,서울특별시 영등포구,서울특별시 영등포구
여의서로,37.528534,126.930254,37.521962,126.916671,37.525248,126.9234625,"예전에 윤중로라 불리던 국회뒷길을 포함해 마포대교남단과 서울교 남단까지 이어지는 여의도 서쪽 순환도로, 수십년된 왕벚나무가 유명하다",,,,,여의서로,시도,서울교북단~마포대교남단,02-2670-3767,서울특별시 영등포구청,2023-12-06,3180000,서울특별시 영등포구,서울특별시 영등포구
도신로,37.504253,126.894407,37.513781,126.918816,37.509017,126.9066115,"신길3거리에서 우신사거리를 지나, 대림3동 빗물펌프장까지 이어져 있다",,,,,도신로,시도,신길3거리~대림3빗물펌프장,02-2670-3767,서울특별시 영등포구청,2023-12-06,3180000,서울특별시 영등포구,서울특별시 영등포구
필운대로,37.576388,126.969147,37.583807,126.970203,37.59916135,126.969675,신교동 10-10부터 필운동 142-7까지의 도로를 말하며 은행나무와 벚나무가 주로 식재되어있다.,,,,,필운대로,구도,신교동 10-10~필운동 142-7,02-2148-2862,서울특별시 종로구청,2021-11-15,3000000,서울특별시 종로구,서울특별시 종로구
초안산길,37.6284769,127.0555092,37.6359385,127.0524217,37.6322077,127.0539655,벚나무가 주로 식재되어 있어 봄철에 아름다운 경관을 볼 수 있다,,,,,초안산로,시도,월계동 596(월계로 분기점)~월계동 782-1(월계 배수지 앞),02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
노원길,37.6219347,127.0870851,37.6610908,127.0590921,37.61853565,127.0730886,"은행나무, 버즘나무, 느티나무 등이 식재되어 있으며 주변 상가와 아파트가 많음",,,,,노원길,시도,공릉동 70-2(화랑로 분기점)~상계동 670-2(동일로 마들역),02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
노해길,37.6531369,127.0553802,37.6556628,127.0668053,37.6538442,127.0610928,"은행나무, 벚나무, 메타가 식재되어 있으며 주변에 아파트단지와 상가가 많음",,,,,노해로,시도,창동교~상계주공6단지(순복음교회 앞),02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
화랑로,37.6151366,127.0664518,37.6408708,127.1115579,37.61624485,127.0890049,수고가 높은 양버즘나무가 긴 거리로 식재되어 있어 장관을 이룸,,,,,화랑로,시도,석계역~구리시계,02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
상계로,37.6545515,127.0552566,37.6704119,127.0810663,37.62038625,127.0681615,양버즘나무가 식재되어 있음,,,,,상계로,시도,상계6동 799-2(동부간선 분기점)~상계동 65-16(당고개역),02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
동1로,37.6173531,127.0757277,37.6888294,127.0554343,37.59653355,127.065581,길양쪽 버즘나무와 띠녹지 식재로 숲을 걷는 듯함,,,,,동1로,시도,묵동교~의정부시계,02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
와룡공원길,37.586221,126.985423,37.592399,126.998701,37.583666,126.992062,계동1-30부터 혜화동 1-24까지의 도로를 말하며 벚나무가 주로 식재되어있다.,,,,,와룡공원길,구도,계동 1-30~혜화동 1-24,02-2148-2862,서울특별시 종로구청,2021-11-15,3000000,서울특별시 종로구,서울특별시 종로구
인왕산로1길,37.575714,126.965548,37.575728,126.961869,37.5709765,126.9637085,사직동 1-30부터 무악동 46-2109를 잇는 도로로 벚나무가 주로 식재되어있다.,,,,,인왕산로1길,구도,사직동 1-30~무악동 46-2109,02-2148-2862,서울특별시 종로구청,2021-11-15,3000000,서울특별시 종로구,서울특별시 종로구
청와대로,37.581111,126.980243,37.583446,126.973741,37.580855,126.976992,종로구 팔판동 162번지(삼청동길)에서 청와대 앞을 거쳐 궁정동 98-6번지(효자로)에 이르는 도로로 은행나무와 벚나무가 식재되어있다.,,,,,청와대로,시도,팔판동 166-2~궁정동 98-2,02-2148-2862,서울특별시 종로구청,2021-11-15,3000000,서울특별시 종로구,서울특별시 종로구
통일로,37.566239,126.966498,37.578479,126.954034,37.586975,126.960266,"서대문구 홍은동 450번지(홍은동사거리)에서 은평구 불광동을 거쳐 진관내동 570번지(진관내동 시계)에 이르는 도로로 주로 양버즘나무, 은행나무가 식재되어있다.",,,,,통일로,시도,평동 215~무악동 3-9,02-2148-2862,서울특별시 종로구청,2021-11-15,3000000,서울특별시 종로구,서울특별시 종로구
낙산로,37.580599,127.004282,37.580255,127.017259,37.5919785,127.0107705,동숭동 31-25부터 숭인동 23-1을 잇는 도로로 회화나무와 벚나무가 주로 식재되어있다.,,,,,낙산로,구도,동숭동 31-25~숭인동 23-1,02-2148-2862,서울특별시 종로구청,2021-11-15,3000000,서울특별시 종로구,서울특별시 종로구
비봉길,37.607711,126.957615,37.620034,126.953427,37.5808295,126.955521,구기동 110-22부터 구기동 196-5를 잇는 도로로 벚나무가 주로 식재되어있다.,,,,,비봉길,구도,구기동 110-22~구기동 196-5,02-2148-2862,서울특별시 종로구청,2021-11-15,3000000,서울특별시 종로구,서울특별시 종로구
세검정로,37.603358,126.961634,37.598784,126.956888,37.577928,126.959261,서대문구 홍은동 52(홍은사거리)에서 종로구 신영동 신영동 20-1(신영동삼거리)에 이르는 4차선 도로. 도로명은 세검정이라는 정자에서 유래했다. 양버즘나무와 벚나무가 식재되어있다.,,,,,세검정로,시도,신영동 57-2~홍지동 134-8,02-2148-2862,서울특별시 종로구청,2021-11-15,3000000,서울특별시 종로구,서울특별시 종로구
동호로10길,37.553948,127.011305,37.557706,127.013661,37.551572,127.012483,봄철 벚꽃이 아름다운 노선,,,,,동호로10길,,약수역~청구초등학교,02-3396-5872,서울특별시 중구청,2023-07-04,3010000,서울특별시 중구,서울특별시 중구
필동로,37.552498,126.996775,37.561636,126.996004,37.590227,126.9963895,봄철 벚꽃이 아름다운 노선,,,,,필동로,,중구노인요양센터~진양상가 교차로,02-3396-5872,서울특별시 중구청,2023-07-04,3010000,서울특별시 중구,서울특별시 중구
동호로5길,37.549196,127.011911,37.552894,127.012163,37.583786,127.012037,봄철 벚꽃이 아름다운 노선,,,,,동호로5길,,수암유치원~약수지구대,02-3396-5872,서울특별시 중구청,2023-07-04,3010000,서울특별시 중구,서울특별시 중구
나래길,37.627956,127.0693406,37.629971,127.0762303,37.6214657,127.0727855,"은행나무,벚나무가 식재되어 있고 주변 아파트 및 상가가 많음",,,,,동일로198길,구도,공릉동1차신도아파트~서울산업대 사거리(공릉길),02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
광운길,37.618376,127.0573706,37.6229967,127.0601237,37.64332355,127.0587472,벚나무가 식재되어 있어 봄철 아름다운 경관을 볼수 있음,,,,,광운로,구도,월계동 472-4(선곡초등학교)~월계동 383-4(성북역),02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
석계역길,37.6149754,127.0648207,37.6230236,127.060308,37.6169399,127.0625644,"양버즘나무, 벚나무가 식재되어 있고 아파트와 전철역이 있음",,,,,석계로,구도,월계동 47-13(석계역)~월계동379-46,02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
늘푸른3길,37.6682711,127.0601292,37.6650258,127.0634815,37.66593315,127.0618054,"느티나무, 벚나무가 식재되어 있으며 학교가 많음",,,,,한글비석로54길,구도,상원초등학교~청원초등학교(한글비석길),02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
공릉길,37.6189044,127.0784957,37.6460405,127.0663887,37.61795115,127.0724422,은행나무 등 다양한 가로수가 식재되어 있으며 주변에 상가와 아파트가 많음,,,,,공릉로,구도,공릉동 661-11(화랑로)~중계동 514(당고개길),02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
수락산길,37.6635952,127.0753693,37.6710869,127.0499755,37.65023655,127.0626724,수락산과 연접해 있는 길로 은행나무 등 다양한 가로수가 식재되어 있음,,,,,수락산로,구도,상계5동 172(상계로)~상계8동 620(상경초등학교),02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
섬밭길,37.6169979,127.0728417,37.6446555,127.0616852,37.6336718,127.0672635,은행나무 등 다양한 가로수가 식재되어 있으며 주변에 상가와 아파트가 많음,,,,,섬밭로,구도,공릉동 684-18(화랑로)~중계동 501(당고개길),02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
무수동길,37.6368779,127.0802594,37.6513523,127.0731699,37.6438912,127.0767147,"은행나무, 느티나무, 벚나무 등이 식재되어 있으며 주변 상가와 아파트가 많음",,,,,중계로,구도,하계동 산34-13(노원길)~중계동 359-18(당고개길),02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
당현천길,37.6503457,127.0690328,37.6572813,127.0722918,37.64200845,127.0706623,당현천변으로 벚나무가 식재되어 있어 봄철 화사한 분위기를 연출하며 산책코스로 좋다,,,,,노원로24길,구도,양지대림1차아파트~중계초등학교,02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
원터1길,37.6509045,127.0687161,37.6585611,127.0716584,37.66442805,127.0701873,"당현천변으로 식재된 벚나무와 이팝나무는 봄과 여름에 꽃이 피어 화사한 느낌을 주며, 산책로로 좋다",,,,,노원로26길,구도,당현2교 사거리~상계로,02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
학여울길,37.6336712,127.0642025,37.6434828,127.0645055,37.5977256,127.064354,"은행나무,벚나무가 식재되어 있고 주변 아파트 및 상가가 많음",,,,,동일로207길,구도,청구 학여울아파트(월계로)~중계그린 아파트(동1로),02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
철쭉길,37.6779516,127.0516464,37.6762653,127.055046,37.6143258,127.0533462,"벚나무, 살구나무가 식재되어 있어 봄철 아름다운 경관을 볼 수 있음",,,,,동일로241길,구도,상계동 상록수아파트~수락산역 사거리,02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
공항대로,37.56178,126.80735,37.54758,126.87971,37.567245,126.84353,수형 및 생육상태가 양호하며  띠녹지가 조성되어 있음,,,,,,시도,김포국제공항입구~도레미빌딩,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
등촌로,37.5507,126.86403,37.53025,126.86389,37.545325,126.86396,은행나무가 주 식재 수종이며  주변에 상가가 많이 밀접하여 있음,,,,,,시도,기아자동차 강서지점~등촌로3번지,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
양천로,37.57271,126.80396,37.54822,126.87941,37.554975,126.841685,은행나무가 주 식재 수종이며  주변에 아파트단지 및 상가가 많음,,,,,,시도,개화초등학교~리버파크호텔,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
화곡로,37.53995,126.83391,37.5634,126.85654,37.53503,126.845225,다양한 화목류를 이용하여 띠녹지가 조성되었으며  메타세콰이어가 주 식재수종임,,,,,,시도,가양아파트~화곡로14길,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
가로공원로,37.53724,126.83752,37.53861,126.8424,37.54478,126.83996,다양한 화목류를 이용하여 띠녹지가 조성되어 있음,,,,,,시도,화곡터널입구~화곡7치안센터,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
곰달래로,37.53011,126.83845,37.53238,126.86331,37.55374,126.85088,벚나무가 식재된 가로수길로 봄꽃길로 알려져 있음,,,,,,시도,강서공고~대한항공김포세관,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
발산로,37.55232,126.81662,37.55526,126.82027,37.56651,126.818445,은행나무가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,,,,,,시도,수협~공항대로 접점,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
방화대로,37.57737,126.81691,37.54952,126.81661,37.55698,126.81676,띠녹지 발달되어 있음,,,,,,시도,강서구경계(군부대)~김포공항입구교차로,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
금낭화로,37.5807,126.81416,37.56514,126.81167,37.5786295,126.812915,은행나무와 벚나무가 식재되어 있어 봄  가을철 아름다운 단풍길을 연출함,,,,,,구도,공항지구대~방화단지교차로,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
월정로,37.53659,126.83439,37.5301,126.8384,37.5844539,126.836395,이팝나무가 주 수종이며  가로의 길이에 비해 많은 수종이 식재되어 있음,,,,,,구도,농협 화곡지점~하나은행 신월동지점,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
양천로 47길,37.576559,126.837622,37.570464,126.837754,37.60157735,126.837688,띠녹지 발달되어 있음,,,,,,구도,마곡벽산아파트~양천로,02-2600-4188,서울특별시 강서구 공원녹지과,2023-03-06,3150000,서울특별시 강서구,서울특별시 강서구
비석공원길,37.6323178,127.0495303,37.6323887,127.052102,37.6300116,127.0508162,벚나무가 식재되어 있음,,,,,초안산로5길,구도,월계고등학교~월계프라자,02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
각심재길,37.6265957,127.051373,37.6288196,127.0548184,37.64455915,127.0530957,은행나무와 벚나무가 식재되어 있음,,,,,초안산로1길,구도,월계1단지 종합상가~하나로온누리약국,02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
안골길,37.6277054,127.0478847,37.6258928,127.0517917,37.5930982,127.0498382,은행나무와 벚나무가 식재되어 있으며 주변에 아파트가 많음,,,,,월계로45길,구도,신창중학교~월계주공1단지,02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
불암공원길,37.6625226,127.0761276,37.6624225,127.0776802,37.6047308,127.0769039,등산로 초입에 벚나무가 식재되어 있어 봄철 아름다운 경관을 연출한다,,,,,덕릉로94길,구도,천주교 상계동교회~불암산 공원,02-2116-3961,서울특별시 노원구청,2023-08-07,3100000,서울특별시 노원구,서울특별시 노원구
고산자로10길,37.558491,127.034053,37.559102,127.036964,37.5539265,127.0355085,2차선 도로를 따라 소나무 가로수가 식재되어 있음,,,,,고산자로10길,구도,무학여고앞교차로~소월아트홀,02-2286-6319,서울특별시 성동구청,2023-08-08,3030000,서울특별시 성동구,서울특별시 성동구
동호로2길,37.546939,127.016551,37.548244,127.019087,37.555406,127.017819,아파트를 접한 도로변에 벚나무 가로수가 식재되어 있음,,,,,동호로2길,구도,금호롯데아파트~금남시장화단삼거리,02-2286-6319,서울특별시 성동구청,2023-08-08,3030000,서울특별시 성동구,서울특별시 성동구
매봉길,37.549362,127.012527,37.545193,127.017042,37.560327,127.0147845,아파트재개발로 새로조성된 가로변에 벚나무 가로수가 식재되어 있음,,,,,매봉길,구도,금호산매봉산생태육교~동인샤인빌아파트,02-2286-6319,서울특별시 성동구청,2023-08-08,3030000,서울특별시 성동구,서울특별시 성동구
천호대로78길,37.563873,127.056294,37.558909,127.054209,37.525982,127.0552515,4차선 도로로 양 옆으로 버즘나무가 조성되어 있음,,,,,천호대로78길,구도,용답동주민센터~용답꽃공원,02-2286-6319,서울특별시 성동구청,2023-08-08,3030000,서울특별시 성동구,서울특별시 성동구
청계천로,37.571292,127.023643,37.571808,127.037216,37.5180865,127.0304295,청계천상부 도로를 따라 벚나무가 식재되어 있음,,,,,청계천로,시도,황학교~서울시설관리공단교차로,02-2286-6319,서울특별시 성동구청,2023-08-08,3030000,서울특별시 성동구,서울특별시 성동구
